Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
Episodio 1
9,"[0.0, 3.0, 5.836666584014893, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.06666667014360428, 4.0, 19.5]",1,-1,"[0.0, 1.0, 5.773333549499512, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 17.5]",False
9,"[0.0, 1.0, 5.773333549499512, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 17.5]",7,-1,"[0.0, 1.0, 5.773333549499512, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 16.5]",False
9,"[0.0, 1.0, 5.773333549499512, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 16.5]",11,-1,"[0.0, 1.0, 5.763333320617676, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 17.0]",False
9,"[0.0, 1.0, 5.763333320617676, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 17.0]",1,-1,"[0.0, 1.0, 5.710000038146973, 3.0, 10.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 15.0]",True
Episodio 10
10,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 11.5]",2,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 11.0]",False
10,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 11.0]",0,-1,"[1.0, 2.0, 6.186666488647461, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.8933333158493042, 1.7999999523162842, 0.5]",False
10,"[1.0, 2.0, 6.186666488647461, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.8933333158493042, 1.7999999523162842, 0.5]",6,-1,"[1.0, 2.0, 6.193333148956299, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 0.5]",False
10,"[1.0, 2.0, 6.193333148956299, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 0.5]",7,-1,"[1.0, 2.0, 6.199999809265137, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[1.0, 2.0, 6.199999809265137, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",0,-1,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",0,-1,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",6,-1,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",3,-1,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",2,-1,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",False
10,"[0.0, 1.0, 6.2133331298828125, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.9333333373069763, 1.7999999523162842, 0.5]",4,0,"[0.0, 1.0, 6.210000038146973, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.9466666579246521, 1.7999999523162842, 0.5]",True
