time/time_elapsed,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss
9408,0.05,0,-4.29,122,927,7.82,,,
9523,0.05,0,-4.29,123,937,7.82,0.0001,209,0.42423292994499207
9576,0.05,0,-4.11,124,939,7.74,,,
9889,0.05,0,-4.0,125,948,7.73,0.0001,211,0.6166703701019287
9943,0.05,0,-4.18,126,958,7.81,0.0001,214,0.8716008067131042
9996,0.05,0,-4.18,127,960,7.81,,,
10158,0.05,0,-4.18,128,970,7.81,0.0001,217,0.3613848090171814
10415,0.05,0,-4.26,129,980,7.89,0.0001,219,0.3880176246166229
10468,0.05,0,-4.18,130,982,7.81,0.0001,220,0.39387786388397217
10774,0.05,0,-4.36,131,992,7.89,0.0001,222,0.9211564064025879
