Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
906,130,"[0.0, 1.0, 5.806666851043701, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",2,-1,"[0.0, 1.0, 5.806666851043701, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 1.5]",False
907,130,"[0.0, 1.0, 5.806666851043701, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 1.5]",8,-1,"[1.0, 2.0, 7.073333263397217, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 9.5]",True
908,131,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 11.0]",3,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 11.0]",False
909,131,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 11.0]",1,9,"[0.0, 3.0, 6.980000019073486, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 1.7999999523162842, 1.0]",True
910,132,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",5,-1,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.02666666731238365, 1.7999999523162842, 1.0]",False
911,132,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.02666666731238365, 1.7999999523162842, 1.0]",11,9,"[1.0, 3.0, 6.980000019073486, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 1.8666666746139526, 1.7999999523162842, 1.0]",True
912,133,"[1.0, 3.0, 5.9033331871032715, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4000000059604645, 1.7999999523162842, 1.0]",5,-1,"[1.0, 3.0, 5.9066667556762695, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.41333332657814026, 1.7999999523162842, 1.0]",False
913,133,"[1.0, 3.0, 5.9066667556762695, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.41333332657814026, 1.7999999523162842, 1.0]",6,-1,"[1.0, 3.0, 5.909999847412109, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4266666769981384, 1.7999999523162842, 1.0]",False
914,133,"[1.0, 3.0, 5.909999847412109, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4266666769981384, 1.7999999523162842, 1.0]",10,-1,"[1.0, 3.0, 5.909999847412109, 3.0, 10.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4399999976158142, 1.7999999523162842, 1.0]",False
915,133,"[1.0, 3.0, 5.909999847412109, 3.0, 10.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4399999976158142, 1.7999999523162842, 1.0]",4,0,"[1.0, 3.0, 5.920000076293945, 3.0, 10.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.4533333480358124, 1.7999999523162842, 1.0]",False
